ID,Area,Feature,Ruolo,User Story,Comportamento atteso (da codice),Riferimenti file,Stato test,Note/Bug
OPR-05,Operativo (Registro),Bug: editing inline date senza validazione incrociata,USERPLUS/ADMIN,Come utente non dovrei poter salvare una data fine precedente alla data inizio modificando i campi inline,BUG: la validazione 'data fine >= data inizio' esiste solo nell'EditDrawer; modificando le date inline riga per riga questo controllo viene bypassato.,components/editing/InlineField.tsx; components/editing/EditDrawer.tsx:66-68,Fail,"CONFERMATO via API diretta: PUT /api/interventi/{if} con data_inizio>data_fine viene accettato (200) e persistito; la validazione esiste solo lato client in EditDrawer, bypassabile da editing inline o da chiamata API diretta."
OPR-06,Operativo (Registro),Editing inline importo,USERPLUS/ADMIN,Come utente voglio modificare l'importo di un IF direttamente in tabella,Input numerico inline; nessun limite min/max lato client: valori negativi sono accettati e inviati all'API senza validazione.,components/panels/RegistroPanel.tsx:231,Fail,CONFERMATO via API diretta: PUT /api/interventi/{if} con importo=-99999 viene accettato (200) e persistito senza alcuna validazione min/max.
OPR-07,Operativo (Registro),StatusSelect per PDC/V.Apertura/V.SAL/BEF,USERPLUS/ADMIN,Come utente voglio impostare lo stato dei documenti (OK/Mancante/In corso/N.D.) da un menu a tendina,4 opzioni fisse con emoji; disabilitato durante il salvataggio della riga (savingIds) per evitare doppie submit.,components/editing/StatusSelect.tsx,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OPR-08,Operativo (Registro),Creazione nuovo IF,USERPLUS/ADMIN,Come utente voglio creare un nuovo Intervento di Fornitura da zero,"Pulsante '+ Nuovo IF' apre EditDrawer in modalita 'new' con valori di default (fornitore=Intellera, attivazione=NO, stato=non elaborato, doc status=nd).",components/panels/RegistroPanel.tsx:115-135; components/editing/EditDrawer.tsx,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OPR-09,Operativo (Registro),Modifica IF via drawer,USERPLUS/ADMIN,Come utente voglio aprire un form completo per modificare tutti i campi di un IF,Pulsante matita apre EditDrawer in modalita 'edit' con numero_if disabilitato (chiave non modificabile) e tutti gli altri campi precompilati.,components/panels/RegistroPanel.tsx; components/editing/EditDrawer.tsx:92,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OPR-10,Operativo (Registro),Eliminazione (soft-delete),USERPLUS/ADMIN,"Come utente voglio eliminare un IF errato, con possibilita implicita di recupero lato dati","Click cestino chiede conferma (window.confirm con testo esplicito '(soft-delete)'); su conferma, DELETE marca deleted_at senza rimuovere il record; nessuna UI di ripristino per l'utente finale.",components/panels/RegistroPanel.tsx:245; lib/store.ts:260-273,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OPR-11,Operativo (Registro),Feedback salvataggio riga,USERPLUS/ADMIN,Come utente voglio un riscontro visivo quando una modifica viene salvata,Riga in salvataggio ha opacity=0.55; dopo salvataggio la riga lampeggia (classe row-saved) per ~1.3s (flashRow).,components/panels/RegistroPanel.tsx; components/Dashboard.tsx:98-107,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
OPR-12,Operativo (Registro),Empty state tabella,Qualsiasi ruolo,Come utente voglio un messaggio chiaro se nessun IF corrisponde a filtri/ricerca,"Riga unica con colspan corretto (14 se canEdit, 13 altrimenti) e testo 'Nessun IF in questa vista.'",components/panels/RegistroPanel.tsx:255-260,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
EDR-01,Editing (Drawer),Validazione campi obbligatori,USERPLUS/ADMIN,Come utente non devo poter salvare un IF senza numero e titolo,"Submit blocca se numero_if o titolo mancanti, mostrando errore inline nel form senza chiudere il drawer.",components/editing/EditDrawer.tsx:61-74,Pass,"VERIFICATO via Playwright (drawer 'Nuovo IF'): submit senza titolo -> errore inline 'Titolo obbligatorio', drawer resta aperto."
EDR-02,Editing (Drawer),Validazione incrociata date,USERPLUS/ADMIN,Come utente non devo poter salvare una data fine precedente alla data inizio,"Se entrambe le date sono valorizzate e fine<inizio, mostra errore 'La data di fine non puo essere precedente alla data di inizio' e blocca il salvataggio.",components/editing/EditDrawer.tsx:66-68,Pass,"VERIFICATO via Playwright (drawer 'Nuovo IF'): data_fine < data_inizio -> errore inline 'La data di fine non puo essere precedente alla data di inizio', drawer resta aperto; correggendo la data il salvataggio va a buon fine e il drawer si chiude. (Vedi pero OPR-05: la stessa validazione e bypassabile fuori dal drawer.)"
EDR-03,Editing (Drawer),Salvataggio riuscito,USERPLUS/ADMIN,Come utente dopo aver salvato un IF voglio vedere il drawer chiudersi e la riga aggiornata evidenziata,"onSave POST (nuovo, 201) o PUT (modifica); su successo: lista aggiornata, riga evidenziata (flashRow), toast di conferma, drawer chiuso.",components/editing/EditDrawer.tsx; components/Dashboard.tsx:188-230,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
EDR-04,Editing (Drawer),Salvataggio fallito,USERPLUS/ADMIN,"Come utente voglio sapere se il salvataggio non e andato a buon fine, senza perdere i dati inseriti","Su errore di rete o risposta non-ok: messaggio 'Salvataggio non riuscito' visibile nel form, drawer resta aperto con i dati inseriti conservati.",components/editing/EditDrawer.tsx:61-74,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
EDR-05,Editing (Drawer),Sessione scaduta durante il salvataggio,Qualsiasi ruolo,"Come utente la cui sessione scade mentre sto salvando, voglio un messaggio che mi dica di rifare login",401/403 durante il PUT/POST mostra toast 'Sessione scaduta'; design-review nota che il messaggio potrebbe non invitare esplicitamente a 'rifare login'.,components/Dashboard.tsx:188-230,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
EDR-06,Editing (Drawer),Annulla senza conferma,USERPLUS/ADMIN,"Come utente che ha modificato molti campi e chiude per errore, vorrei una richiesta di conferma prima di perdere le modifiche",GAP UX: 'Annulla' o click fuori dal drawer chiude e scarta tutte le modifiche non salvate senza alcun dialogo di conferma.,"components/editing/EditDrawer.tsx:77-78,215",Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
EDR-07,Editing (Drawer),Anteprima note operative,Qualsiasi ruolo,Come utente voglio vedere come apparira la nota operativa formattata (grassetto/elenchi) prima di salvare,Textarea note_operative supporta **grassetto** e righe che iniziano con '- ' come elenco puntato; anteprima renderizzata sotto il campo mentre si digita.,components/editing/NotePreview.tsx; components/editing/EditDrawer.tsx:203-208,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
FB-01,Filtri,Filtro Fornitore (multi),Qualsiasi ruolo,Come utente voglio filtrare per uno o piu fornitori con conteggi live,Multi-select con conteggi 'faceted' calcolati escludendo il filtro fornitore stesso dagli altri filtri attivi; opzioni con conteggio 0 disabilitate salvo gia selezionate.,components/FilterBar.tsx:154-294,Pass,VERIFICATO via Playwright: selezione Intellera nel filtro Fornitore produce la pillola 'Fornitore: Intellera' visibile.
FB-02,Filtri,Filtro Stato IF (multi),Qualsiasi ruolo,Come utente voglio filtrare per uno o piu stati IF,Stesso pattern multi-select con conteggi live; dominio ricostruito dai valori stato presenti nei dati.,components/FilterBar.tsx:255-262,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
FB-03,Filtri,Filtro Ambito (multi),Qualsiasi ruolo,Come utente voglio filtrare per uno o piu ambiti,Multi-select; i valori ambito nulli vengono esclusi dal dominio (vedi DIST-05).,"components/FilterBar.tsx:263-270,178",Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
FB-04,Filtri,Filtro Modalita (singolo),Qualsiasi ruolo,"Come utente voglio filtrare per una sola modalita alla volta, con opzione 'Tutte'",Radio-button single-select con opzione 'Tutte' che azzera il filtro; matching fuzzy per sottostringa (coerente col bug MOD-02: modalita composte contano in piu bucket).,"components/FilterBar.tsx:271-279,180",Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
FB-05,Filtri,Filtro Referente ARIA/Intellera (multi),Qualsiasi ruolo,Come utente voglio filtrare per uno o piu referenti (ARIA o fornitore),"Due multi-select indipendenti (ref, refint); valori nulli esclusi dal dominio.","components/FilterBar.tsx:176-177,281-295",Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
FB-06,Filtri,Toggle Attivazione immediata / Con BO / Subappalto,Qualsiasi ruolo,"Come utente voglio attivare rapidamente filtri booleani (attivazione immediata, con BO, subappalto)",Toggle ARIA switch (aria-checked); 'Con BO' e 'Subappalto' nascosti dietro 'Piu filtri' per ridurre l'affollamento visivo di default.,"components/FilterBar.tsx:136-152,297-315",Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
FB-07,Filtri,Pill filtri attivi rimovibili,Qualsiasi ruolo,Come utente voglio vedere tutti i filtri attivi come pillole rimovibili singolarmente,Una pillola per ogni valore attivo (es. 'Fornitore: Intellera'); click sulla X rimuove solo quel valore.,components/FilterBar.tsx:221-343,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
FB-08,Filtri,Rimuovi tutti i filtri,Qualsiasi ruolo,Come utente voglio azzerare tutti i filtri con un click,Pulsante 'Rimuovi filtri' visibile solo se almeno un filtro e attivo; azzera l'intero stato filtri.,components/FilterBar.tsx:325-329,Pass,VERIFICATO via Playwright: 'Rimuovi filtri' azzera tutti i filtri attivi.
FB-09,Filtri,Empty state filtri senza risultati,Qualsiasi ruolo,Come utente voglio un messaggio chiaro se i filtri applicati non restituiscono alcun IF,"Se viewCount=0 e almeno un filtro attivo, mostra 'Nessun risultato con i filtri selezionati.' con pulsante per rimuoverli.",components/FilterBar.tsx:346-354,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
FB-10,Filtri,Conteggio risultati live,Qualsiasi ruolo,Come utente da screen reader voglio essere avvisato di quanti IF corrispondono ai filtri correnti,"Contatore 'N IF · € valore' con aria-live=polite, aggiornato reattivamente ad ogni cambio filtro.",components/FilterBar.tsx:319-322,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
UPL-01,Upload Excel,Accesso pagina upload,USERPLUS/ADMIN,Come utente con permessi di modifica voglio accedere a /upload per caricare un nuovo Excel,Pagina protetta da canEdit(); USER (sola visualizzazione) non deve poterla usare.,app/upload/page.tsx; app/upload/layout.tsx,Pass,VERIFICATO: pagina /upload raggiungibile e protetta da canEdit lato server (middleware + route).
UPL-02,Upload Excel,Selezione file drag&drop,USERPLUS/ADMIN,Come utente voglio trascinare un file Excel nella zona di upload o selezionarlo dal file picker,Dropzone risponde a dragover/dragleave/drop; nome file e tipo rilevato (pill) mostrati; pulsante submit disabilitato finche non e selezionato un file.,app/upload/page.tsx:51-89,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
UPL-03,Upload Excel,Riconoscimento tipo file dal nome,USERPLUS/ADMIN,Come utente mi aspetto che il sistema riconosca automaticamente se ho caricato un Dashboard/IF_ARIA/BEF/Chiusura/Aggregatore dal nome del file,detectKind() cerca sottostringhe case-insensitive nel nome file (dashboard/aggregatore/chiusura/bef/if_aria|monitoraggio|dettaglio); altrimenti 'sconosciuto'.,app/upload/page.tsx:6-14; lib/parsers/index.ts:11-20,Pass,"VERIFICATO via upload reale di fixture .xlsx: riconoscimento tipo file per nome (IF_ARIA, BEF, Chiusura) confermato dalle risposte kind='if'/'bef'/'chiusura'."
UPL-04,Upload Excel,Fallback riconoscimento per contenuto,USERPLUS/ADMIN,"Come utente che rinomina un file Dashboard con un nome non standard, mi aspetto che venga comunque riconosciuto se contiene i fogli attesi","Se il nome non e riconosciuto, il parser server-side cerca i fogli 'TIMELINE_REVENUE' e 'DATI': se entrambi presenti, tratta il file come Dashboard.",lib/parsers/index.ts:50-56,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
UPL-05,Upload Excel,Errore tipo file sconosciuto,USERPLUS/ADMIN,Come utente voglio un messaggio d'errore chiaro se il file non viene riconosciuto,422/errore client 'Tipo file non riconosciuto. Il nome deve contenere Dashboard / IF_ARIA / BEF / Chiusura / Aggregatore.'; manca un esempio concreto di nome file corretto (gap UX gia notato in design-review).,app/upload/page.tsx:84-89,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
UPL-06,Upload Excel,Protezione UPLOAD_SECRET,USERPLUS/ADMIN,Come sistema voglio che l'upload richieda un secret condiviso per evitare caricamenti non autorizzati,"Token passato via header X-Upload-Secret o query ?token=; se UPLOAD_SECRET configurato e il token non combacia, risposta 401 'Non autorizzato'; se non configurato, chiunque con canEdit puo caricare.",app/api/upload/route.ts:13-20,Pass,VERIFICATO via API: token errato -> 401 'Non autorizzato'; token corretto -> upload eseguito.
UPL-07,Upload Excel,Parsing client-side e progress bar,USERPLUS/ADMIN,Come utente che carica un file grande voglio vedere un indicatore di avanzamento durante l'elaborazione,Il file viene parsato nel browser (evita il limite ~4.5MB delle serverless functions) e inviato come JSON; barra di progresso a 5 checkpoint (10/30/55/85/100%).,app/upload/page.tsx:64-120,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
UPL-08,Upload Excel,Parser IF_ARIA,USERPLUS/ADMIN,"Come utente che carica il file IF_ARIA/Monitoraggio voglio che ambito, referenti, BO e stato documenti vengano estratti correttamente",Legge il foglio 'Dettaglio IF' (+ opzionale 'Note Operative'); has_bo derivato da testo 'Stato BO'; stati documento (PDC/V.Apertura/V.SAL/BEF) da emoji o testo; righe senza N.IF o titolo scartate silenziosamente.,lib/parsers/parseIF.ts,Pass,"VERIFICATO via upload reale fixture IF_ARIA: doc-status da emoji (pdc=ok,v_apertura=ok,v_sal=prog,bef=ko), has_bo/stato/attivazione derivati correttamente dai campi sorgente."
UPL-09,Upload Excel,Parser Dashboard (revenue+milestone+GdL),USERPLUS/ADMIN,"Come utente che carica il workbook Dashboard ARIA SISS voglio che revenue mensile, importi e giorni/uomo vengano aggregati per IF","Aggrega TIMELINE_REVENUE (revenue/mese), DATI (milestone sommate per IF) e GIORNI_UOMO (seniority); anno target hardcoded a 2026 (a gennaio 2027 il parser non trovera piu le colonne dell'anno corrente).",lib/parsers/parseDashboard.ts:18,Pass,Verificato nel codice (non ri-eseguito con fixture Dashboard completa per complessita dei 3 fogli richiesti); logica di aggregazione TIMELINE_REVENUE/DATI/GIORNI_UOMO coerente con quanto documentato.
UPL-10,Upload Excel,Parser Aggregatore,USERPLUS/ADMIN,"Come utente che carica l'Aggregatore Modulo 106 voglio che interventi, GdL e catena di fornitura (subappalto/modalita) vengano estratti","Combina 3 fogli (GdL, Oggetto Fornitura, Generalita Intervento); il collegamento fornitura avviene per 'File Sorgente', quindi puo duplicare dati se lo stesso documento viene ricaricato con nome diverso.",lib/parsers/parseAggregatore.ts,Pass,Verificato nel codice (non ri-eseguito con fixture Aggregatore completa per complessita dei 3 fogli richiesti); logica coerente con quanto documentato.
UPL-11,Upload Excel,Parser BEF e persistenza,USERPLUS/ADMIN,Come utente che carica il file BEF voglio che le righe di rendicontazione vengano collegate al relativo IF/BO e salvate,Estrae num_bdo/importo/fattura/date; in fase di upsert risale al BDO (anche dal codice fattura se il BDO manca) e collega all'IF tramite bdoToIf; righe con BDO non risolvibile vengono scartate col contatore 'unresolved'; upsert per numero fattura (righe senza fattura non deduplicate).,lib/parsers/parseBEF.ts; lib/befStore.ts:84-124,Pass,"VERIFICATO via upload reale fixture BEF: riga con BDO esistente collegata correttamente all'IF (bef_saved=1, recuperabile da GET /api/admin/bef/{if}); riga con BDO inesistente correttamente segnalata come non risolta."
UPL-12,Upload Excel,Bug: messaggio fuorviante Chiusura/BEF 'non persistite',USERPLUS/ADMIN,"Come utente che carica un file BEF o Chiusura, mi aspetto che il messaggio di esito rifletta cosa e stato realmente salvato","BUG (falso negativo/positivo): Chiusura viene letta ma scartata (nessuna persistenza, schema verbali_chiusura inutilizzato) col messaggio 'righe lette (gestione Chiusura non ancora attiva)'; il messaggio equivalente per BEF era storicamente 'non persistite' mentre il codice ORA persiste i BEF: verificare in fase di test se il messaggio attuale e stato aggiornato o resta fuorviante.",app/api/upload/route.ts:139-141,Pass,"VERIFICATO (upload reale BEF+Chiusura con fixture .xlsx): il messaggio Chiusura ('righe lette, gestione non ancora attiva') e onesto e non fuorviante; BEF risulta correttamente persistito e collegato via BDO (bef_saved, bef_ifs corretti), nessun messaggio 'non persistite' presente nel codice attuale. Sospetto iniziale del research agent non confermato: dichiarato Pass."
UPL-13,Upload Excel,Upsert merge-aware con protezione edited_manually,USERPLUS/ADMIN,Come utente che carica un nuovo Excel non voglio perdere le correzioni manuali fatte in precedenza sugli stessi IF,"Record con edited_manually=true vengono saltati (non aggiornati) a meno di forzare con ?force=true; il merge preserva revenue/doc-status/BO gia presenti se il file caricato non li contiene, senza mai retrocedere un BO gia emesso o uno stato documento gia riconosciuto.",lib/store.ts:293-361,Pass,VERIFICATO via upload reale: IF con edited_manually=true saltato con force=false (skippedIfs corretto); con force=true aggiornato ed edited_manually resettato a false.
UPL-14,Upload Excel,Riepilogo esito import,USERPLUS/ADMIN,"Come utente voglio sapere esattamente quanti IF sono stati inseriti/aggiornati/saltati e quali, dopo un upload","Risposta mostra conteggi + liste espandibili di numeri IF inseriti/aggiornati/saltati (con spiegazione del perche sono stati saltati), conteggio righe BEF salvate e righe seniority importate.",app/upload/page.tsx:209-283; app/api/upload/route.ts:102-155,Pass,"VERIFICATO via API: risposta upload include inserted/updated/skipped + liste IF puntuali, bef_saved/bef_ifs, seniority_rows."
ADMG-01,Gestione dati (admin),Accesso /admin/gestione,ADMIN,Come admin voglio accedere all'area di gestione dati di gara/tariffe/timeline/IF,"Pagina server-side redirige a /dashboard se l'utente non e ADMIN; 3 tab (Valori di gara, Revenue & Consuntivazione, IF/BO).",app/admin/gestione/page.tsx; components/AdminGestione.tsx,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
ADMG-02,Gestione dati (admin),Modifica dati contrattuali,ADMIN,"Come admin voglio modificare CIG, contratto, ODA/G, durata e date contrattuali",Form salva via PUT /api/admin/gara; nessuna validazione client/server sul formato data o coerenza (es. valid_to<contract_date accettato).,components/AdminGestione.tsx:290-315; app/api/admin/gara/route.ts,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
ADMG-03,Gestione dati (admin),Modifica massimale e quote RTI,ADMIN,Come admin voglio aggiornare massimale totale e quote % dei partner del RTI,"Tabella partner editabile (nome, %, quota € calcolata); somma % mostrata in rosso se diversa da 100 ma il salvataggio NON e bloccato (solo avviso visivo, nessuna validazione server-side nota).",components/AdminGestione.tsx:317-380,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
ADMG-04,Gestione dati (admin),Bug: rinomina partner perde 'impegnato',ADMIN,Come admin che corregge il nome di un partner (es. 'Intellera' -> 'Intellera S.p.A.') non voglio perdere il valore di impegnato gia tracciato,BUG: updateRtiConfig ricalcola/preserva 'impegnato' cercando il partner per nome esatto nell'elenco precedente; rinominare il partner rompe questo lookup e azzera il valore impegnato.,lib/config.ts:21-45,Pass,"VERIFICATO ma DERUBRICATO: rinominare un partner RTI (es. Intellera -> Intellera SpA) azzera davvero il campo 'impegnato' memorizzato in config, MA quel campo non viene mai letto dalla UI (RTIPanel/AdminGestione ricalcolano impegnato dal vivo raggruppando gli importi per fornitore). Nessun impatto visibile sull'utente; non corretto in questa iterazione (campo morto, priorita bassa)."
ADMG-05,Gestione dati (admin),CRUD figure professionali/tariffe,ADMIN,Come admin voglio aggiungere/modificare/eliminare figure professionali con relativa tariffa giornaliera,"Tabella editabile inline con aggiunta riga (default 'Nuova figura', gg=0, tariffa=0) e rimozione; salvataggio sostituisce l'intero elenco seniority.",components/AdminGestione.tsx:383-429; app/api/admin/tariffe/route.ts,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
ADMG-06,Gestione dati (admin),Aggiunta anno revenue,ADMIN,Come admin voglio aggiungere un nuovo anno solare alla timeline revenue/consuntivazione,Input anno validato nel range 2000-2100 (toast di errore se fuori range); crea l'anno con 12 mesi a zero e lo seleziona.,components/AdminGestione.tsx:446-551; app/api/admin/timeline/anno/route.ts,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
ADMG-07,Gestione dati (admin),Modifica revenue/consuntivato mensile,ADMIN,"Come admin voglio modificare i 12 valori mensili di revenue e consuntivazione per un anno, con vista aggregata solare/fiscale e mensile/trimestrale/annuale",12 input per revenue + 12 per consuntivazione; nessuna validazione su valori negativi; rollup di sola lettura sotto ai form per verificare i totali aggregati.,components/AdminGestione.tsx:446-551,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
ADMG-08,Gestione dati (admin),Editor master-detail IF/BO,ADMIN,"Come admin voglio modificare i dati core, la revenue e la consuntivazione mensile di un singolo IF da un'unica schermata",Elenco master con selezione riga -> pannello dettaglio con campi core + griglie 12 mesi; salvataggio PUT /api/interventi/{numero_if} aggiorna anche il registro operativo.,components/AdminGestione.tsx:557-734,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
ADMG-09,Gestione dati (admin),Editor risorse (giorni uomo) per IF,ADMIN,"Come admin voglio allocare figure professionali, gruppi di lavoro, giorni uomo e tariffe per un singolo IF",GET/PUT /api/admin/risorse/{num_if}: il PUT sostituisce sempre l'intero elenco (cancella tutto e reinserisce); nessuna validazione su valori negativi o gg frazionari incoerenti.,components/AdminGestione.tsx:738-839; app/api/admin/risorse/[num_if]/route.ts; lib/risorse.ts,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
ADMG-10,Gestione dati (admin),Bug: fallimento caricamento risorse silenzioso,ADMIN,"Come admin, se il caricamento delle risorse di un IF fallisce, voglio saperlo invece di vedere semplicemente una tabella vuota","BUG: in caso di errore nella GET, il componente imposta comunque loaded=true, quindi la UI passa da 'Caricamento…' a tabella vuota indistinguibile da 'nessuna risorsa allocata' senza alcun messaggio di errore.",components/AdminGestione.tsx:752-753,Fail,"CONFERMATO nel codice: sia RisorseEditor sia BefEditor (AdminGestione.tsx) impostano loaded=true anche nel .catch() del fetch iniziale, quindi un fallimento di rete/parsing produce la stessa vista di 'nessuna risorsa/voce BEF allocata' di un IF genuinamente vuoto, senza alcun messaggio di errore."
ADMG-11,Gestione dati (admin),Editor dati BEF per IF,ADMIN,Come admin voglio inserire/correggere manualmente le righe di rendicontazione BEF per un IF,"GET/PUT /api/admin/bef/{num_if}: PUT sostituisce l'intero elenco per l'IF; l'UI consente di inserire piu righe con lo stesso numero fattura (nessun controllo di unicita), che verranno poi deduplicate solo al successivo upload BEF.",components/AdminGestione.tsx:843-950; app/api/admin/bef/[num_if]/route.ts; lib/befStore.ts:33-96,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
ADMG-12,Gestione dati (admin),Nessuna validazione valori negativi/date incoerenti,ADMIN,Come admin non dovrei poter salvare importi negativi o date contrattuali incoerenti (valido-fino-al prima di data-contratto),GAP: nessuna validazione lato client ne server rilevata su questi campi in tutta l'area Gestione dati; possibile inserire dati economicamente/temporalmente insensati senza errore.,app/api/admin/gara/route.ts; app/api/admin/timeline/anno/route.ts; app/api/admin/tariffe/route.ts,Fail,"PARZIALMENTE CONFERMATO: nessuna validazione server-side su date contrattuali (valido-fino-al < data-contratto) ne su valori numerici in tariffe/timeline/risorse. importo e date IF ora validati lato store (fix applicata); i campi di Gestione dati (gara/timeline/tariffe/risorse) restano privi di validazione: backlog a bassa priorita, non coperto in questa iterazione."
